city,x,y
L7,83.4,-29.8
T2,-99.1,-31.2
X5,58.1,-24.4
W8,58.8,-67.1
D3,-33.7,-68.0
K3,37.8,39.8
X6,-37.4,-60.0
G1,-14.3,73.9
N8,5.1,72.0
H2,61.3,92.5
K9,48.5,-28.4
L2,68.3,23.1
U9,98.1,-87.4
E4,70.6,41.3
D9,16.5,65.0
C6,71.0,28.6
F4,-48.9,62.9
D2,2.6,58.1
Q9,-82.3,-68.7
K4,-67.4,-23.1
A2,-12.9,-80.4
S0,56.7,-61.5
M7,1.1,-7.6
E2,-74.7,31.4
W3,45.8,-21.3
C3,-18.3,53.0
O6,45.3,-79.5
L4,-41.8,61.1
R6,-1.2,-28.3
M3,-65.4,-21.3
R4,-92.7,-4.3
G4,77.0,70.2
X9,84.8,-77.9
Y9,18.7,10.3
Y6,25.1,64.2
U4,-46.4,-46.4
K6,71.4,89.7
A9,83.0,-62.5
L1,-39.8,42.2
Q0,60.8,93.5
W2,-46.0,94.2
K7,-61.8,22.7
U5,52.2,68.0
N3,-69.3,3.0
B7,50.3,-90.7
U2,23.4,-86.1
M4,15.6,25.9
P1,-54.8,95.9
T5,61.0,-57.9
E8,-9.8,4.3
H0,-99.8,-83.9
E6,-29.7,91.3
H3,-73.2,-48.0
K5,32.9,28.3
D6,-67.6,-57.7
O2,-61.4,-47.7
B0,2.7,-26.4
V7,36.7,-43.2
C0,-62.7,-57.8
S4,-2.0,17.8
V0,-95.0,29.6
S5,28.3,-86.7
I2,-29.5,67.8
O4,-27.0,-26.0
S3,36.4,44.9
F3,47.3,-41.5
J9,51.9,-12.0
O7,27.1,-90.1
Q6,-75.7,-14.8
H9,81.4,80.0
I7,-68.9,-44.6
F1,-87.8,3.6
N1,-75.5,-29.4
L6,-5.8,95.8
Y1,19.7,-12.5
C2,31.2,10.8
A3,93.9,27.7
G6,76.0,-38.9
R2,88.9,-83.1
I5,87.4,9.3
G3,-24.7,-24.6
V9,72.7,-89.4
O5,82.6,-41.3
F8,-62.7,-41.5
E9,31.8,-25.2
