city,x,y
C1,-89.9,-76.3
Y0,49.0,-16.1
F3,41.1,10.5
W4,13.6,64.7
F5,42.6,35.3
F0,70.6,84.9
C3,12.2,-19.8
N1,73.5,7.7
P0,0.1,-26.5
V6,39.0,-13.9
K0,94.1,55.1
A0,18.1,37.1
E8,-4.9,92.6
O1,-33.6,-94.9
S2,36.6,82.6
Y8,29.2,-18.6
A2,-54.5,75.2
R5,-95.2,52.4
Q0,-63.0,-75.2
J2,83.6,-71.3
E6,63.2,6.1
N0,81.0,-40.8
J6,-92.6,-12.9
T4,83.5,-1.5
L1,-9.2,25.7
C6,-22.9,-60.8
Q6,12.6,14.5
W1,-17.2,-56.7
V9,0.9,32.5
R8,60.2,7.9
V4,-26.6,-48.4
G2,18.2,-6.1
N8,-77.5,-19.2
B1,44.0,-27.3
W2,11.1,-3.6
A6,12.8,-41.1
E3,23.7,75.8
A8,-94.7,40.6
S6,97.1,-87.3
G1,-69.5,-93.1
O0,-33.0,60.4
I4,84.7,47.1
K7,-33.0,-48.4
F1,65.6,76.2
Y1,62.0,-24.4
X2,-9.7,-33.1
I3,-16.4,-11.1
T2,90.4,-60.7
Z3,71.2,-41.6
I8,-58.5,-67.7
X3,58.6,-79.3
K2,84.6,-26.4
H3,24.5,87.8
D9,97.6,-24.6
V0,69.2,16.8
T5,21.0,-36.6
W6,60.2,51.5
R7,35.7,70.2
C9,-91.7,99.4
R9,50.0,-78.6
A7,69.1,79.0
L8,-74.0,-78.5
M8,-61.0,5.2
H8,-30.4,-86.2
H7,-51.5,35.8
U3,89.6,28.4
I6,-36.4,50.2
I7,-89.5,21.7
C5,40.1,-15.4
S0,-29.1,75.3
N6,65.2,7.0
Z5,35.5,-99.5
N3,-66.8,28.0
Z4,-83.2,65.4
A1,-68.3,39.4
L7,-34.3,98.7
T7,-56.6,-83.9
R2,-82.7,26.0
K5,1.6,74.4
M1,1.5,-72.1
