city,x,y
B8,-75.7,-16.0
X1,33.3,72.5
P9,-50.4,-74.5
P7,-2.8,22.0
N4,-39.9,32.8
N9,60.3,-20.8
M6,-81.2,57.8
Y1,-43.8,73.2
X4,-5.6,-67.2
V4,-62.3,-90.2
F1,-89.1,-98.3
G4,-32.6,-62.0
H8,60.7,0.3
B3,61.7,-37.1
V1,-95.4,4.3
Z9,37.2,27.3
W6,-7.0,-1.2
F3,-76.3,-60.0
S8,-6.1,94.2
I7,60.5,40.0
T1,31.5,35.1
K9,-74.7,57.8
R6,-57.2,18.7
R2,-1.4,79.7
H2,27.6,-31.8
Q8,4.9,-39.1
B4,-96.6,-94.0
L5,18.0,88.2
D8,-47.8,64.1
Y2,-51.3,-68.4
O5,94.4,-15.4
D6,20.1,53.5
B2,-73.0,-4.9
K8,-96.9,-71.6
R0,-31.4,-21.0
V0,8.0,77.0
R1,44.6,-93.9
S6,56.2,19.4
V2,-21.9,48.7
J5,59.5,79.6
S4,19.6,-68.8
X7,25.1,71.4
U2,-33.9,10.8
N6,-59.6,-85.2
B5,48.5,89.0
G6,83.7,-33.5
U1,53.3,-79.8
P0,-66.1,-30.2
O3,23.9,99.0
A0,-54.1,-66.1
E6,-14.4,-36.8
X8,12.3,25.9
T7,-47.8,5.4
X9,23.9,11.9
L8,42.0,52.0
U7,-33.9,64.2
Z5,-81.0,-78.4
C0,-18.2,33.4
I9,-68.1,11.3
R8,-57.1,-64.7
Q0,0.1,-93.6
J1,-59.4,51.2
U6,82.8,83.5
J6,-85.5,-98.5
C8,2.1,66.3
V3,65.3,68.9
X6,70.0,84.7
S5,-28.5,47.3
T5,-95.0,-87.2
N5,-67.0,36.4
O0,97.5,-15.7
H9,49.6,-32.6
C7,4.0,0.2
D4,99.8,29.8
U4,94.2,92.9
S3,-72.1,93.9
X2,28.2,78.5
C3,-21.3,-75.7
P1,76.7,73.3
J0,76.6,-79.5
