generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
0,1792.016911622819,1792.016911622819,8546.645751011156,9624.650265352439,0.0005580304479908156,0.00012068884458217937,0.00010389987920910511,100.0,98.84375,0
1,1792.016911622819,1792.016911622819,8189.271403256746,9314.51696344871,0.0005580304479908156,0.00012956752773645905,0.00010735929774180675,96.0,98.9375,1
2,1792.016911622819,1792.016911622819,7484.413791024807,8919.24306208495,0.0005580304479908156,0.0001509301868097387,0.00011211713741168538,97.0,97.71875,2
3,1792.016911622819,1792.016911622819,5942.716938346701,8876.64167472858,0.0005580304479908156,0.00020074053932750806,0.00011265521766491455,95.0,95.9375,3
4,1792.016911622819,1792.016911622819,4099.938391854333,8037.485764550751,0.0005580304479908156,0.00027919950711945656,0.00012441701662608098,94.0,94.125,4
5,1792.016911622819,1792.0169116228187,3109.9714401644105,5694.942236349487,0.0005580304479908157,0.000350113640866225,0.00017559440614116036,91.0,90.59375,5
6,1792.016911622819,1792.0169116228187,2458.8493728202398,3818.9213454009496,0.0005580304479908157,0.0004234822485076593,0.0002618540445207859,89.0,89.5,6
7,1792.016911622819,1792.0169116228187,2148.2877963620167,3136.2237509574866,0.0005580304479908157,0.00047286408649911704,0.000318854800999036,85.0,87.15625,7
8,1787.3251826885237,1787.3251826885237,2044.194040221839,2651.3817731136432,0.0005594952780197407,0.0004948396592380838,0.0003771618294055225,78.0,88.28125,0
9,1787.3251826885237,1787.3251826885237,1981.216398743798,2558.4592114881234,0.0005594952780197407,0.0005092107210931959,0.00039086024725731367,74.0,80.34375,1
10,1776.288440708081,1776.288440708081,1965.330348788639,2530.2753702815244,0.0005629716306667908,0.0005130139986862672,0.0003952139011212591,74.0,79.0625,0
11,1776.288440708081,1776.288440708081,1944.520427014335,2696.5745987779333,0.0005629716306667908,0.0005190398354214363,0.00037084084395558423,69.0,78.375,1
12,1776.288440708081,1776.288440708081,1910.845772708474,2513.4989023987455,0.0005629716306667908,0.0005260742118374991,0.00039785177508757,66.0,77.3125,2
13,1776.288440708081,1776.288440708081,1910.479610669869,2430.8039044658317,0.0005629716306667908,0.0005270727647721417,0.00041138653684191334,55.00000000000001,73.84375,3
14,1776.288440708081,1776.288440708081,1888.7319833335603,2359.4276909643345,0.0005629716306667908,0.0005323971236499257,0.0004238315943436623,55.00000000000001,64.0,4
15,1776.288440708081,1776.288440708081,1868.2212245026794,2368.096856213423,0.0005629716306667908,0.0005376571069221445,0.0004222800251502362,55.00000000000001,69.53125,5
16,1776.288440708081,1776.288440708081,1850.5161115411177,2136.648079227766,0.0005629716306667908,0.0005420617275310896,0.0004680227922051733,44.0,61.75000000000001,6
17,1776.288440708081,1776.288440708081,1843.338366953406,2187.8097191029274,0.0005629716306667908,0.0005446855787135968,0.0004570781413339876,36.0,59.09375,7
18,1776.288440708081,1776.288440708081,1850.2820310937677,2271.832657149467,0.0005629716306667908,0.000542544026682431,0.0004401732657786194,42.0,51.5625,8
19,1776.288440708081,1776.288440708081,1845.2660981708148,2190.734617682841,0.0005629716306667908,0.0005439812426529625,0.00045646788612748915,35.0,55.46875,9
20,1776.288440708081,1776.288440708081,1851.9762341229423,2252.5193127224347,0.0005629716306667908,0.0005421133383366589,0.00044394735900904746,37.0,61.90624999999999,10
21,1776.288440708081,1776.288440708081,1845.5107760773055,2213.6078886355317,0.0005629716306667908,0.000543836224624038,0.00045175119095568444,34.0,55.65624999999999,11
22,1772.8424263882148,1772.8424263882148,1862.284215370848,2492.2980540535464,0.0005640659232401632,0.0005394455259715427,0.0004012361195618519,46.0,45.0625,0
23,1772.8424263882148,1772.8424263882148,1835.0152649157058,2251.5805873641984,0.0005640659232401632,0.0005466983091186836,0.00044413244882815614,35.0,21.78125,1
24,1772.8424263882148,1772.8424263882148,1812.5636331985668,2218.1659350274067,0.0005640659232401632,0.0005530146112468131,0.00045082290022078266,23.0,21.96875,2
25,1772.8424263882148,1772.8424263882148,1801.324953938766,2140.1968816929666,0.0005640659232401632,0.000555964816016943,0.0004672467325571311,16.0,9.25,3
26,1772.8424263882148,1772.8424263882148,1802.0074084987793,2171.7378730023584,0.0005640659232401632,0.0005558562252058253,0.00046046072706626027,17.0,6.375,4
27,1772.8424263882148,1772.8424263882148,1810.024845382526,2153.5349413510858,0.0005640659232401632,0.0005537263349257279,0.00046435280932689165,19.0,11.90625,5
28,1772.8424263882148,1772.8424263882148,1796.1625487207884,2166.2421593642844,0.0005640659232401632,0.0005574697455554212,0.00046162890685012993,17.0,5.25,6
29,1765.5223512634834,1765.5223512634834,1794.0078952539166,2194.321907062456,0.0005664046106719389,0.0005581828716112885,0.0004557216499463846,14.000000000000002,6.0,0
30,1765.5223512634834,1765.5223512634834,1801.6388434583114,2113.5879509494116,0.0005664046106719389,0.0005557634687891424,0.00047312911655784435,25.0,19.5,1
31,1765.5223512634834,1765.5223512634834,1790.8272751970342,2082.167706373547,0.0005664046106719389,0.0005589646924102603,0.00048026871079547744,15.0,7.062499999999999,2
32,1761.3018470480724,1761.3018470480724,1795.666547933212,2166.2421593642844,0.0005677618527886014,0.0005577214149909446,0.00046162890685012993,17.0,20.5,0
33,1761.3018470480724,1761.3018470480724,1792.7590987901428,2140.7954762650033,0.0005677618527886014,0.0005585982139951434,0.0004671160842252323,18.0,13.96875,1
34,1758.173726668317,1758.173726668317,1815.472213798345,2235.9753192904454,0.0005687720074710521,0.0005525187661209501,0.0004472321279097728,28.000000000000004,28.96875,0
35,1758.173726668317,1758.173726668317,1836.2261275852052,2287.417026678068,0.0005687720074710521,0.0005466093782699899,0.000437174327346974,39.0,41.3125,1
36,1758.173726668317,1758.173726668317,1861.8195855543204,2531.661860980084,0.0005687720074710521,0.000540375908526588,0.00039499745815693927,49.0,32.4375,2
37,1758.173726668317,1758.173726668317,1872.9035311219986,2440.3739999575773,0.0005687720074710521,0.0005368861274940289,0.00040977325607361137,53.0,39.71875,3
38,1758.173726668317,1758.173726668317,1865.2831605692004,2255.139728158669,0.0005687720074710521,0.0005388230643856059,0.0004434315033847165,50.0,52.46875,4
39,1758.173726668317,1758.173726668317,1846.1511520634742,2365.861607220246,0.0005687720074710521,0.0005441722586962508,0.00042267899227416914,45.0,51.21875,5
40,1758.173726668317,1758.173726668317,1844.0142791252356,2251.934812491263,0.0005687720074710521,0.0005445589703700422,0.00044406258762602586,42.0,40.125,6
41,1758.173726668317,1758.1737266683167,1834.5043313719925,2201.1245221867334,0.0005687720074710521,0.0005469676543658796,0.00045431323394940767,44.0,52.53124999999999,7
42,1754.1506450749532,1754.1506450749532,1861.9522711292268,2344.9422626012147,0.0005700764656716644,0.0005397778344576176,0.00042644973223806046,55.00000000000001,53.25,0
43,1754.1506450749532,1754.1506450749532,1888.7596168949756,2386.3568433108167,0.0005700764656716644,0.0005322451095827835,0.00041904881191725114,62.0,66.78125,1
44,1750.6396853262215,1750.6396853262215,1864.6407132311817,2260.8784593451865,0.0005712197709111428,0.0005390425185249029,0.0004423059523021098,55.00000000000001,66.9375,0
45,1750.6396853262215,1750.6396853262215,1863.9817189965793,2244.4168409439358,0.0005712197709111428,0.0005390480792025728,0.0004455500340923431,59.0,70.21875,1
46,1750.6396853262215,1750.6396853262215,1890.046475563918,2202.952249454449,0.0005712197709111428,0.0005318088703692995,0.00045393630308947685,69.0,71.5625,2
47,1750.6396853262215,1750.6396853262215,1926.4705925453889,2362.352638171136,0.0005712197709111428,0.0005225296166186161,0.00042330682720348234,73.0,73.8125,3
48,1746.6166037328576,1746.6166037328576,1933.153767874358,2485.116544972341,0.0005725354939732086,0.0005213529182068869,0.00040239561481456774,74.0,75.03125,0
49,1746.6166037328576,1746.6166037328576,1918.7684266416202,2379.90721159394,0.0005725354939732086,0.0005246264038672164,0.0004201844488425458,74.0,81.78125,1
50,1746.6166037328576,1746.6166037328576,1947.4445762233806,2551.3388939164997,0.0005725354939732086,0.000517285309274863,0.0003919510663144101,81.0,81.4375,2
51,1746.6166037328576,1746.6166037328576,1961.4320137815364,2589.2023777351087,0.0005725354939732086,0.0005138825027768271,0.00038621932707892247,82.0,86.6875,3
52,1741.2005955837217,1741.2005955837217,1993.1868475336128,2645.252564139808,0.0005743163668427063,0.0005064403513284378,0.000378035736003599,88.0,79.4375,0
53,1741.2005955837217,1741.2005955837217,1980.4353692936559,2336.9517031642026,0.0005743163668427063,0.0005085084525162544,0.00042790785904818333,86.0,83.75,1
54,1741.2005955837217,1741.2005955837217,2000.1678438982965,2583.909675923689,0.0005743163668427063,0.0005050975261979474,0.00038701043202778456,82.0,79.4375,2
55,1741.2005955837217,1741.2005955837217,1931.6701846658343,2620.294548716277,0.0005743163668427063,0.0005221439871489085,0.0003816364845280143,72.0,76.8125,3
56,1737.177513990358,1737.177513990358,1864.3942743465302,2458.0334090971646,0.0005756464103101152,0.000540353755503837,0.00040682929544366914,62.0,67.8125,0
57,1737.177513990358,1737.177513990358,1830.2168577441867,2217.7179869999504,0.0005756464103101152,0.0005486655836029506,0.00045091396014367176,57.99999999999999,55.03125,1
58,1737.177513990358,1737.177513990358,1825.2772809894157,2460.2008820686806,0.0005756464103101152,0.0005507477623259871,0.00040647087288219375,50.0,66.28125,2
59,1737.177513990358,1737.177513990358,1828.883317090809,2162.8280888547824,0.0005756464103101152,0.000549241183272023,0.00046235759797696156,56.00000000000001,65.5,3
60,1737.177513990358,1737.177513990358,1846.9526538283121,2321.952200242734,0.0005756464103101152,0.0005445434531232112,0.00043067208700310925,57.99999999999999,78.96875,4
61,1737.177513990358,1737.177513990358,1832.8253902319304,2159.80924022621,0.0005756464103101152,0.0005481235670707626,0.0004630038530140113,54.0,73.0,5
