order,city,x,y
1,S0,52.7,-32.5
2,H5,50.7,-40.8
3,C5,46.1,-39.3
4,G7,44.7,-55.6
5,P6,60.5,-67.9
6,H0,65.4,-62.3
7,W5,74.5,-58.9
8,A8,94.5,-59.0
9,R8,94.7,-68.7
10,D0,99.4,-70.5
11,M4,87.0,-92.8
12,K1,81.6,-81.2
13,P8,54.6,-74.9
14,S5,27.3,-71.5
15,M5,-14.3,-76.9
16,A7,-22.1,-93.2
17,S3,-66.6,-83.4
18,B6,-99.1,-33.5
19,H6,-86.1,-11.7
20,A2,-86.2,1.2
21,C6,-82.4,12.7
22,L6,-66.1,40.8
23,T6,-81.8,55.4
24,S7,-73.8,80.6
25,Y2,-80.0,83.4
26,O7,-73.7,94.8
27,M1,-51.5,84.2
28,P7,-33.9,93.8
29,V5,-23.1,87.3
30,W0,-0.0,86.0
31,X5,8.2,72.9
32,O2,22.2,91.8
33,E7,41.2,92.7
34,N1,39.2,85.5
35,H7,62.7,71.2
36,M3,66.3,69.3
37,J7,64.3,79.0
38,T4,68.5,95.3
39,M7,81.9,92.5
40,O9,80.0,85.1
41,F7,97.3,65.7
42,U4,82.9,53.6
43,J6,90.1,47.5
44,Q5,93.8,38.0
45,F3,88.5,35.5
46,T5,74.4,35.8
47,P3,69.0,49.9
48,E6,62.9,43.6
49,W2,40.7,45.1
50,K4,31.0,53.3
51,Y3,-1.2,41.4
52,B7,-6.1,50.6
53,G2,-33.0,53.7
54,J1,-33.5,55.4
55,U7,-54.1,59.1
56,A0,-41.6,35.5
57,N4,-15.0,11.8
58,V0,-20.7,0.6
59,T9,-44.3,8.9
60,L3,-44.0,-6.3
61,N0,-62.7,-12.7
62,L1,-62.4,-19.4
63,U3,-68.9,-37.1
64,F1,-58.9,-37.9
65,Z5,-44.1,-33.0
66,G9,-35.2,-39.5
67,V4,-33.9,-39.9
68,U6,-2.6,-42.4
69,G3,0.4,-32.3
70,V8,-3.2,-23.6
71,A9,13.5,-33.4
72,V1,29.1,-22.8
73,I6,46.0,-27.3
74,J9,22.1,11.4
75,G8,40.0,37.7
76,E5,51.8,8.1
77,C7,51.0,-4.9
78,V2,56.6,-5.4
79,J5,60.7,-9.1
80,O5,73.4,-11.0
81,K9,88.5,-15.0
82,A3,62.6,-24.2
83,D1,58.2,-23.9
