visit_order,city,x,y
1,V1,-4.0,5.6
2,M9,18.9,11.9
3,P3,18.2,21.5
4,D8,16.7,32.0
5,W2,-0.3,38.4
6,P4,-21.1,36.1
7,Z3,-24.8,24.8
8,Q9,-37.5,40.2
9,F9,-48.9,52.0
10,R3,-56.3,62.9
11,R2,-60.2,64.5
12,G6,-75.6,58.4
13,G7,-89.0,89.4
14,U2,-61.5,87.9
15,P2,-43.2,63.4
16,I4,-40.2,66.8
17,H7,-23.8,62.0
18,S9,-20.7,66.0
19,B9,-21.2,69.6
20,Z7,-11.7,66.8
21,F2,-1.8,74.0
22,K3,-7.1,79.7
23,R9,-1.7,82.0
24,A0,7.3,74.0
25,D3,12.5,78.7
26,F4,25.1,62.9
27,S3,31.1,64.4
28,L8,48.1,64.7
29,J1,48.8,69.6
30,V2,53.9,87.2
31,F8,91.1,88.2
32,S8,54.8,65.0
33,O9,57.9,51.9
34,G0,74.0,40.1
35,M2,94.9,46.2
36,Z4,99.8,-10.5
37,Y2,59.5,-9.4
38,L0,52.6,-10.8
39,T5,44.5,-28.4
40,R4,85.1,-43.8
41,D1,79.0,-50.5
42,D5,74.5,-69.0
43,N7,56.7,-82.1
44,U0,30.6,-90.6
45,A6,29.7,-76.8
46,Y7,41.0,-68.4
47,V6,40.2,-49.1
48,B8,21.2,-52.6
49,J5,28.6,-46.8
50,H9,30.8,-39.2
51,S7,23.9,-32.4
52,P0,21.1,-31.0
53,P7,16.7,-21.7
54,K1,4.7,-42.4
55,I7,-11.6,-68.3
56,B0,-0.4,-76.5
57,M0,3.0,-77.6
58,O4,-9.5,-85.8
59,C9,-8.6,-100.0
60,K9,-25.0,-81.3
61,U1,-32.9,-97.0
62,N5,-89.1,-99.5
63,Y1,-99.9,-59.4
64,E0,-94.8,-59.1
65,B5,-93.3,-19.5
66,Q5,-72.3,-43.4
67,H3,-61.6,-30.6
68,T1,-36.7,-34.4
69,A7,-32.6,-30.2
70,L7,-35.1,-25.5
71,J9,-49.4,-13.4
72,Q3,-60.3,-11.8
73,V8,-77.6,-12.9
74,Q7,-82.3,-12.2
75,D6,-88.8,17.5
76,X6,-83.4,18.6
77,G5,-75.7,23.0
78,L4,-61.0,14.1
79,J8,-38.3,4.4
80,W4,-12.0,-8.0
81,V1 (retorno),-4.0,5.6
