dataset,n_ciudades,pop_size,crossover,crossover_prob,mutation,mutation_prob,generations,nn_distance,nn_2opt_distance,best_distance_ga,best_distance_ga_2opt,two_opt_improvements,best_generation,final_no_improve,unique_pct_final,hamming_pct_final,gap_vs_nn_pct,gap_vs_nn2_pct,valid_solution
cities_100_131415,88,100,PMX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1577.5756063729464,1455.2653320383952,15,38,2,24.0,18.238636363636363,-8.52983117817589,-1.1904363028153733,True
cities_100_131415,88,60,OX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1573.4398870293644,1455.2653320383954,13,17,23,21.666666666666668,12.045454545454545,-8.529831178175876,-1.1904363028153577,True
cities_100_131415,88,140,OX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1571.5326456931552,1455.9169165719354,14,38,2,25.0,13.750000000000002,-8.48887607124626,-1.1461950348805672,True
cities_100_131415,88,60,PMX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1542.3508517457112,1460.4130327920607,13,38,2,26.666666666666668,19.886363636363637,-8.206274334887059,-0.8409178649639746,True
cities_100_131415,88,60,OX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.4916243393423,1461.2572884565711,15,19,21,3.3333333333333335,1.3636363636363635,-8.153208954669841,-0.7835946181150254,True
cities_100_131415,88,140,OX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1559.0382271511185,1462.6777604078752,14,35,5,5.0,0.5681818181818182,-8.063925711035875,-0.6871474543831394,True
cities_100_131415,88,140,PMX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1555.3265669106722,1465.76333554136,11,22,18,21.428571428571427,4.943181818181818,-7.869983017453706,-0.4776431626348704,True
cities_100_131415,88,100,PMX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1583.9378905323292,1465.7633355413602,13,8,32,7.000000000000001,19.090909090909093,-7.869983017453691,-0.47764316263485496,True
cities_100_131415,88,100,OX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1585.8744028642984,1467.4522277149401,13,19,21,21.0,11.704545454545455,-7.76382831917415,-0.3629708103640332,True
cities_100_131415,88,140,OX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1571.5129825402696,1467.999693751542,15,27,13,21.428571428571427,8.636363636363637,-7.729417542190925,-0.3257989771424642,True
cities_100_131415,88,60,PMX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1572.2265335539473,1470.5913174374746,13,38,2,11.666666666666666,10.227272727272728,-7.566521985720244,-0.14983298658623123,True
cities_100_131415,88,100,OX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,9.0,5.0,-7.42781832116281,0.0,True
cities_100_131415,88,60,PMX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,16.666666666666664,10.795454545454545,-7.42781832116281,0.0,True
cities_100_131415,88,60,PMX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,5.0,3.6363636363636362,-7.42781832116281,0.0,True
cities_100_131415,88,60,OX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,5.0,0.0,-7.42781832116281,0.0,True
cities_100_131415,88,60,OX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1572.97717566219,1472.7980547492893,11,27,13,28.333333333333332,11.193181818181818,-7.42781832116281,0.0,True
cities_100_131415,88,140,PMX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1585.6506763965917,1472.7980547492893,12,29,11,4.285714285714286,4.090909090909091,-7.42781832116281,0.0,True
cities_100_131415,88,100,PMX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,5.0,0.11363636363636363,-7.42781832116281,0.0,True
cities_100_131415,88,100,OX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,26.0,16.30681818181818,-7.42781832116281,0.0,True
cities_100_131415,88,100,OX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1590.9726097402583,1472.7980547492893,13,0,40,9.0,6.136363636363637,-7.42781832116281,0.0,True
cities_100_131415,88,140,PMX,0.9,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1589.7678659534147,1479.8683601593727,13,33,7,6.428571428571428,3.0681818181818183,-6.983416867184436,0.48005939356614324,True
cities_100_131415,88,140,PMX,0.9,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1542.2019200436334,1495.5801126893534,13,39,1,21.428571428571427,12.272727272727273,-5.995860423170872,1.5468555153640673,True
cities_100_131415,88,100,PMX,0.8,inversion,0.2,40,1590.9726097402583,1472.7980547492893,1579.326408173442,1509.0059525497047,15,38,2,37.0,21.647727272727273,-5.1519841817977925,2.458442804405995,True
cities_100_131415,88,140,OX,0.8,inversion,0.05,40,1590.9726097402583,1472.7980547492893,1567.6832194622682,1510.173191565511,15,35,5,20.714285714285715,19.090909090909093,-5.078617801467915,2.5376959655601836,True
