dataset,n_ciudades,nn_distance,nn_2opt_distance,ga_distance,ga_2opt_distance,gap_vs_nn_pct,gap_vs_nn2_pct,best_generation,unique_pct_final,hamming_pct_final,valid_solution,stagnation
cities_100_101112,85,1619.4078814108468,1487.0158348318334,1535.7372955654453,1466.1088992070856,-9.466360140856258,-1.4059659039953778,122,16.666666666666664,7.323529411764704,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 5.17%.
cities_100_123,82,1676.6759242451044,1536.723458015457,1581.4057064015387,1529.1212839104223,-8.800426975840073,-0.4947002055172783,121,32.22222222222222,38.018292682926834,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 5.68%.
cities_100_131415,88,1590.9726097402583,1472.7980547492893,1561.4063592351863,1459.160783172245,-8.284984025559874,-0.9259430736663941,133,17.77777777777778,7.2727272727272725,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 1.86%.
cities_100_161718,80,1778.4161387360855,1586.9764228217703,1680.4511454065453,1589.348220962324,-10.63125292532104,0.14945389902746126,101,12.222222222222221,7.031250000000002,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 5.51%.
cities_100_192021,80,1792.016911622819,1564.5458995865652,1637.8158591628467,1577.1733445370965,-11.988925198879063,0.8070996800968339,139,18.88888888888889,10.218750000000002,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 8.60%.
cities_100_222324,82,1604.0221370917411,1493.6752271547123,1550.4664010569857,1492.3102701398327,-6.964484115814862,-0.09138244981672879,98,20.0,7.987804878048782,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 3.34%.
cities_100_252627,84,1537.7670942260024,1491.848059774155,1493.6291181793215,1466.259121287891,-4.650117251605203,-1.7152509813993893,94,22.22222222222222,9.285714285714285,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 2.87%.
cities_100_282930,83,1551.4330469537988,1494.4052595061933,1519.5963552340365,1483.5862513594375,-4.373169420851054,-0.7239674832468656,102,15.555555555555555,12.710843373493974,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 2.05%.
cities_100_456,84,1644.4373488071196,1544.328303638512,1601.4360396072304,1556.262647162786,-5.361998236557685,0.7727853913028816,133,13.333333333333334,10.505952380952381,True,Convergencia activa: mejora reciente dentro de las ultimas 50 generaciones; mejora acumulada 2.61%.
cities_100_789,80,1591.551499480577,1477.0045696240295,1535.5220087952916,1465.5027211761862,-7.919868024724824,-0.7787280205078205,45,11.11111111111111,5.78125,True,Estancamiento final: 95 generaciones sin mejora; mejora acumulada 3.52%.
